Zip;City;Country;Street;StreetType;StreetNo;StreetCodeSupplement;Building;Stairway;Door;Floor;LandRegistryNumber;RecdAt;SN;Brand;Model;Installed
0000;Kalocsa;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00086022250026;Solplanet;ASW8K-LT-G2;2022.10.27.
0000;Paks;HU;7039 Németkér, Zrínyi u. 11.;;;;;;;;;2025.08.23. 03:54;ST40006012260082;Solplanet;ASW4-T;2022.10.27.
0000;Nagyecsed;HU;Báthori utca 13.;;;;;;;;;2025.08.23. 03:54;SZ00086022270379;Solplanet;ASW8K-LT-G2;2022.10.27.
0000;Mezokovacshaza;HU;unknow;;;;;;;;;2025.08.23. 03:54;CA00206012270078;Solplanet;ASW20K-LT;2022.10.27.
0000;kápolnyásnyék;HU;Kápolnásnyék;;;;;;;;;2025.08.23. 03:54;CA00156012170080;Solplanet;ASW15K-LT;2022.10.27.
0000;unknow;HU;Újszász, Jasz-Nagykun-Szolnok, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032270482;Solplanet;ASW10K-LT-G2 Pro;2022.10.27.
0000;Budapest;HU;Terel? út 5 Budapest, Hungary;;;;;;;;;2025.08.23. 03:54;SP00126032270271;Solplanet;ASW12K-LT-G2 Pro;2022.10.27.
0000;Törökbálint;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST30006012180208;Solplanet;ASW3K-LT;2022.10.27.
6337;Újtelek;HU;Béke utca 10.;;;;;;;;;2025.08.23. 03:54;SZ00206022230062;Solplanet;ASW20K-LT-G2;2022.10.24.
0000;Mateszalka;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST50006012230242;Solplanet;ASW5-T;2022.10.27.
0000;Bekescsaba;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00106032270149;Solplanet;ASW10K-LT-G2 Pro;2022.10.27.
0000;Hajdúbagos;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00086032260673;Solplanet;ASW8K-LT-G2 Pro;2022.10.27.
6000;Kecskemét;HU;Kis.heged?s köz 32D;;;;;;;;;2025.08.23. 03:54;ST000860121B0067;Solplanet;ASW8K-LT;2022.10.27.
6000;Kecskemét;HU;Kis.heged?s köz 32D;;;;;;;;;2025.08.23. 03:54;ST000860121B0161;Solplanet;ASW8K-LT;2022.10.27.
0000;Gyor;HU;Gy?rújbarát, László u. 35/1;;;;;;;;;2025.08.23. 03:54;SZ000860221A0151;Solplanet;ASW8K-LT;1970.01.01.
0000;Harta;HU;Harta Templom u 84;;;;;;;;;2025.08.23. 03:54;SP00106032250030;Solplanet;ASW10K-LT-G2;2022.10.27.
0000;Mezokovesd;HU;3400 Mez?kövesd, Alkotmány út 10/1;;;;;;;;;2025.08.23. 03:54;SP00106032260500;Solplanet;ASW10K-LT-G2 Pro;2022.10.27.
0000;unknow;HU;Hajdúbagos , Hajdu-Bihar, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00106022270477;Solplanet;ASW10K-LT-G2;2022.10.27.
0000;Budapest 1222;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00086022270064;Solplanet;ASW8K-LT-G2;2022.10.27.
0000;Pecs;HU;Présház utca, Pecs, Baranya, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032260377;Solplanet;ASW10K-LT-G2 Pro;2022.12.15.
0000;Szombathely;HU;Szegedy Györgyné;;;;;;;;;2025.08.23. 03:54;SZ00086022210429;Solplanet;ASW8K-LT-G2;2022.10.27.
0000;Barcs;HU;Barcs, Somogy, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032250491;Solplanet;ASW10K-LT-G2;2022.10.27.
0000;Hét Velence út 23;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00106022260287;Solplanet;ASW10K-LT-G2;2022.10.28.
0000;Kecskemet;HU;unknow;;;;;;;;;2025.08.23. 03:54;CA00156012170014;Solplanet;ASW15K-LT;2022.10.28.
0000;Dunagaraszti;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00086022210520;Solplanet;ASW8K-LT-G2;2022.10.28.
0000;Karcag;HU;unknow;;;;;;;;;2025.08.23. 03:54;MA20006012260127;Solplanet;ASW2000S-S;2022.10.28.
0000;Oroszlany;HU;2852 Kecskéd, Majki u. 13.;;;;;;;;;2025.08.23. 03:54;SP00106032260028;Solplanet;ASW10K-LT-G2 Pro;2022.10.28.
0000;Kiskunhalas;HU;Kunfehértó, Iparterület ;;;;;;;;;2025.08.23. 03:54;CA00206012180064;Solplanet;ASW20K-LT;2022.10.21.
0000;unknow;HU;Bekes, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00106022260195;Solplanet;ASW10K-LT-G2;2022.10.21.
0000;Gy?rladamér;HU;Gy?rladamér;;;;;;;;;2025.08.23. 03:54;SZ00086022240159;Solplanet;ASW8K-LT-G2;2022.10.21.
0000;unknow;HU;Kodály 13., Sarospatak, Borsod-Abauj-Zemplen, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00106022260561;Solplanet;ASW10K-LT-G2;2022.10.20.
0000;Dunaujvaros;HU;Dunaújváros, Liget köz 7.;;;;;;;;;2025.08.23. 03:54;SP00106032260233;Solplanet;ASW10K-LT-G2 Pro;2022.10.21.
0000;unknow;HU;Mónus Illés utca, Bonyhad, Tolna, Hungary;;;;;;;;;2025.08.23. 03:54;HT00506022260224;Solplanet;ASW50K-LT-G2;1970.01.01.
0000;Tokod;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST60006012270468;Solplanet;ASW6-T;2022.10.21.
0000;unknow;HU;Alispán utca, Erd, Pest, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032260043;Solplanet;ASW10K-LT-G2 Pro;2022.10.21.
0000;Gyula;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00086032260155;Solplanet;ASW8K-LT-G2 Pro;2022.10.21.
0000;Martonvasar;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00106022260258;Solplanet;ASW10K-LT-G2;2022.10.21.
0000;unknow;HU;Halásztelek Mátyás utca 8, Pest, Hungary;;;;;;;;;2025.08.23. 03:54;SP000860322B1376;Solplanet;ASW8K-LT-G2 Pro;2022.10.21.
6300;Kalocsa;HU;48-as Házak VII. utca 12.;;;;;;;;;2025.08.23. 03:54;SZ00086022230189;Solplanet;ASW8K-LT-G2;2022.10.21.
0000;Kistelek;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00106032260763;Solplanet;ASW10K-LT-G2 Pro;2022.10.21.
0000;unknow;HU;F? út, Szentgotthard, Vas, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032260828;Solplanet;ASW10K-LT-G2 Pro;1970.01.01.
0000;unknow;HU;F? út, Szentgotthard, Vas, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032292399;Solplanet;ASW10K-LT-G2 Pro;1970.01.01.
0000;Szatymaz;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST50006012260828;Solplanet;ASW5-T;2022.10.21.
0000;Debrecen;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00136022250056;Solplanet;ASW13K-LT-G2;2022.10.21.
0000;Miskolc;HU;Szent István utca, Miskolc, Borsod-Abauj-Zemplen, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00126022250244;Solplanet;ASW12K-LT-G2;2022.10.22.
0000;unknow;HU;Wesselényi utca, Szentes, Csongrad, Hungary;;;;;;;;;2025.08.23. 03:54;SP00156032270232;Solplanet;ASW15K-LT-G2 Pro;2022.10.22.
0000;Puspokladany;HU;Puspokladany, Jókai u.;;;;;;;;;2025.08.23. 03:54;ST500060121B0016;Solplanet;ASW5K-LT;2022.10.22.
0000;unknow;HU;Szilágyi Dezs? utca, Budapest, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00086022230553;Solplanet;ASW8K-LT-G2;2022.10.22.
0000;unknow;HU;Szabadság Utca 27, Százhalombatta;;;;;;;;;2025.08.23. 03:54;SZ001060221A0024;Solplanet;ASW10K-LT;2022.10.22.
0000;Buj;HU;4483 Buj Mez? út 5;;;;;;;;;2025.08.23. 03:54;SZ00086022230539;Solplanet;ASW8K-LT-G2;2022.10.22.
0000;Budapest;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST50006012260179;Solplanet;ASW5-T;2022.10.22.
0000;Salgotarjan;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00106022210317;Solplanet;ASW10K-LT-G2;2022.10.22.
0000;Mako;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00106032270269;Solplanet;ASW10K-LT-G2 Pro;2022.10.22.
0000;Rackeve;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00066032270585;Solplanet;ASW6K-LT-G2 Pro;2022.10.22.
0000;Morahalom;HU;Mórahalom, Mátyás király Krt 47.;;;;;;;;;2025.08.23. 03:54;SZ00106022230464;Solplanet;ASW10K-LT-G2;2022.10.22.
0000;unknow;HU;?szapó utca, Pest vármegye, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00156022250242;Solplanet;ASW15K-LT-G2;2022.10.22.
0000;Kecskemet;HU;Harkàly utca 32;;;;;;;;;2025.08.23. 03:54;ST000860121B0170;Solplanet;ASW8K-LT;2022.10.22.
0000;Nadujfalu;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST001060121B0064;Solplanet;ASW10K-LT;2022.10.22.
0000;Budapest Vörösmarty 56. ;HU;Budapest, 2.ker;;;;;;;;;2025.08.23. 03:54;SZ00126022270027;Solplanet;ASW12K-LT-G2;2022.10.22.
0000;Budapest;HU;Futrinka u.;;;;;;;;;2025.08.23. 03:54;SZ00106022210125;Solplanet;ASW10K-LT-G2;2022.10.22.
0000;Jaszbereny;HU;5100 Jászberény Sírkert U. 8;;;;;;;;;2025.08.23. 03:54;ST50006012260122;Solplanet;ASW5-T;2022.10.23.
0000;Fehergyarmat;HU;4900 Fehérgyarmat Benczúr utca 12;;;;;;;;;2025.08.23. 03:54;SZ00086022190480;Solplanet;ASW8K-LT;2022.10.23.
0000;unknow;HU;Széchenyi út 41A, Szentgotthard, Vas, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032260827;Solplanet;ASW10K-LT-G2 Pro;2022.10.23.
0000;Miskolc;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST40006012280125;Solplanet;ASW4-T;2022.10.23.
0000;Dunaharaszti;HU;Attila utca, Dunaharaszti, Pest, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00106022230695;Solplanet;ASW10K-LT-G2;2022.10.23.
0000;Budapest;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00086022210309;Solplanet;ASW8K-LT-G2;2022.10.23.
0000;Gyömr?;HU;Gyömr?, Határ utca 4/a 1/2;;;;;;;;;2025.08.23. 03:54;SZ00156022180144;Solplanet;ASW15K-LT-G2;2022.10.23.
0000;Csabdi;HU;Csabdi Pet?fi u.13.;;;;;;;;;2025.08.23. 03:54;SZ00156022270255;Solplanet;ASW15K-LT-G2;1970.01.01.
0000;Sarospatak;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00106032260315;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
2030;Érd;HU;Szerel? utca 22;;;;;;;;;2025.08.23. 03:54;SZ00106022230651;Solplanet;ASW10K-LT-G2;2022.10.24.
2085;Pilisvörösvár;HU;Pilisvörösvár, Szabadság u. 164, 2085 Hungary;;;;;;;;;2025.08.23. 03:54;SP00106092460394;Solplanet;ASW10K-LT-G2 Pro;2022.08.14.
0000;unknow;HU;Ságvári utca, Sopron, Gyor-Moson-Sopron, Hungary;;;;;;;;;2025.08.23. 03:54;CA00156012270155;Solplanet;ASW15K-LT;2022.10.24.
0000;Szeged;HU;Vikler László u. 14, Szeged, Csongrad, Hungary;;;;;;;;;2025.08.23. 03:54;SP00066032260795;Solplanet;ASW6K-LT-G2 Pro;2022.10.24.
4033;Debrecen;HU;Deberecen, Budai Nagy Antal u. 132.;;;;;;;;;2025.08.23. 03:54;SZ00106022210316;Solplanet;ASW10K-LT-G2;2022.10.24.
0000;Szeged;HU;unknow;;;;;;;;;2025.08.23. 03:54;MA20006012260203;Solplanet;ASW2000S-S;2022.10.24.
0000;unknow;HU;Kisar Kossuth 6 Szabolcs-Szatmar-Bereg, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00086022240169;Solplanet;ASW8K-LT-G2;2022.10.24.
0000;Erd;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST00086012270036;Solplanet;ASW8-T;2022.10.24.
0000;Keszü;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00106022260103;Solplanet;ASW10K-LT-G2;2022.10.24.
0000;Godollo;HU;Gödöll?;;;;;;;;;2025.08.23. 03:54;SZ00106022210174;Solplanet;ASW10K-LT-G2;2022.10.25.
7811;Szalánta;HU;Hunyadi János utca 27.;;;;;;;;;2025.08.23. 03:54;SP00106032260020;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
0000;Mateszalka;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00086022190284;Solplanet;ASW8K-LT;2022.10.24.
2440;Százhalombatta;HU;Nyúl utca 5.;;;;;;;;;2025.08.23. 03:54;ST50006012260994;Solplanet;ASW5-T;2022.10.24.
3300;Eger;HU;SZARVASK?I ÚT 18;;;;;;;;;2025.08.23. 03:54;SZ00106022260600;Solplanet;ASW10K-LT-G2;2022.10.25.
0000;Balatonalmadi;HU;Balatonakarattya Csaba utca 93;;;;;;;;;2025.08.23. 03:54;SZ00086022190562;Solplanet;ASW8K-LT;2022.10.24.
0000;Kiskunhalas;HU;Kölcsey utca 11, Kiskunhalas, Bacs-Kiskun, Hungary;;;;;;;;;2025.08.23. 03:54;CA00156012140067;Solplanet;ASW15K-LT;2022.10.24.
0000;unknow;HU;Fehérakác köz 3,Budakeszi, Pest, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00156022260004;Solplanet;ASW15K-LT-G2;2022.10.24.
4225;Debrecen;HU;Csatár utca 5.;;;;;;;;;2025.08.23. 03:54;ST600060121B0144;Solplanet;ASW6K-LT;2022.10.26.
0000;Zabar;HU;Zabar, Pet?fi út 152, 3124 Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032260353;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
4130;Derecske;HU;Bajcsy Zsilinszky utca 68.;;;;;;;;;2025.08.23. 03:54;SZ00086022210659;Solplanet;ASW8K-LT-G2;2022.10.25.
0000;Bekecs;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST40006012250111;Solplanet;ASW4-T;2022.10.24.
4130;Derecske;HU;Orgona utca 8;;;;;;;;;2025.08.23. 03:54;SZ00136022240010;Solplanet;ASW13K-LT-G2;2022.10.26.
0000;Budapest;HU;Gömbvirág utca, Budapest, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032260215;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
0000;Budapest;HU;Titel utca 3, Budapest, Hungary;;;;;;;;;2025.08.23. 03:54;ST60006012260123;Solplanet;ASW6-T;2022.10.24.
0000;unknow;HU;Pákozd Móga janos utca 21, Fejer, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00086022230389;Solplanet;ASW8K-LT-G2;2022.10.24.
0000;Eger Maklári utca 138/B;HU;unknow;;;;;;;;;2025.08.23. 03:54;ST60006012270413;Solplanet;ASW6-T;2022.10.24.
0000;Budapest;HU;1121 Budapest , Hunyad lejt? 13;;;;;;;;;2025.08.23. 03:54;SP00066032260827;Solplanet;ASW6K-LT-G2 Pro;2022.10.24.
0000;unknow;HU;Kiskunhalas, Bacs-Kiskun, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00106022230073;Solplanet;ASW10K-LT-G2;2022.10.24.
3528;Miskolc;HU;Lajos Árpád u. 26.;;;;;;;;;2025.08.23. 03:54;SZ00106022240203;Solplanet;ASW10K-LT-G2;2022.10.24.
0000;Kecskemet;HU;Kecskemét, Vadalma u. 52, 6000 Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032260578;Solplanet;ASW10K-LT-G2 Pro;1970.01.01.
0000;Mateszalka;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00106022210251;Solplanet;ASW10K-LT-G2;2022.10.24.
0000;Kiskunmajsa;HU;Kiskunmajsa;;;;;;;;;2025.08.23. 03:54;SZ00086022260156;Solplanet;ASW8K-LT-G2;2022.10.24.
0000;Kiskunmajsa;HU;Kiskunmajsa, Fèlegyházi út 28.;;;;;;;;;2025.08.23. 03:54;SP00106032260837;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
0000;Rácalmás ;HU;Rácalmás, Király utca 8, 2459 Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032260024;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
0000;Pusztazàmor;HU;Pusztazámor, Bartók Béla utca 4.;;;;;;;;;2025.08.23. 03:54;CA00156012270105;Solplanet;ASW15K-LT;2022.10.24.
0000;Pomáz;HU;unknow;;;;;;;;;2025.08.23. 03:54;MA20006012250149;Solplanet;ASW2000S-S;2022.10.24.
0000;unknow;HU;Budapest Fischer utca 85.;;;;;;;;;2025.08.23. 03:54;ST60006012270355;Solplanet;ASW6-T;2022.10.24.
0000;Pomáz;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00106032260126;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
0000;Budapest;HU;Jókai utca 160, Budapest, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00106022190735;Solplanet;ASW10K-LT;2022.10.24.
0000;unknow;HU;Százhalombatta, Pest, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032270245;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
0000;Sarospatak;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00156022270219;Solplanet;ASW15K-LT-G2;2022.10.24.
0000;Nyíregyháza;HU;színes utca 2;;;;;;;;;2025.08.23. 03:54;SP00106032270098;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
2465;Ráckeresztúr;HU;Eötvös J. utca 17.;;;;;;;;;2025.08.23. 03:54;SP00106032260435;Solplanet;ASW10K-LT-G2 Pro;2022.10.24.
0000;Bonyhad;HU;Bonyhád Wernau u. 4.;;;;;;;;;2025.08.23. 03:54;SP00106032260826;Solplanet;ASW10K-LT-G2 Pro;2022.10.25.
0000;unknow;HU;Sárhegy utca 9. Gyongyos, Heves, Hungary;;;;;;;;;2025.08.23. 03:54;SP001060H2540064;Solplanet;ASW10K-LT-G2 Pro;2022.10.25.
0000;unknow;HU;Rákóczi Ferenc utca 33 Ásványráró Gyor-Moson-Sopron, Hungary;;;;;;;;;2025.08.23. 03:54;SP00106032270118;Solplanet;ASW10K-LT-G2 Pro;2022.10.25.
6200;Kisk?rös;HU;Bajtárs 30;;;;;;;;;2025.08.23. 03:54;SZ00106022260095;Solplanet;ASW10K-LT-G2;2022.10.25.
0000;unknow;HU;Bertalan Árpád utca 10., Szombathely, Vas, Hungary;;;;;;;;;2025.08.23. 03:54;ST600060121B0147;Solplanet;ASW6K-LT;2022.10.25.
0000;Szentes;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00126022270334;Solplanet;ASW12K-LT-G2;2022.10.25.
0000;unknow;HU;Budapest Fischer u 83;;;;;;;;;2025.08.23. 03:54;ST60006012270354;Solplanet;ASW6-T;2022.10.25.
0000;Fót;HU;unknow;;;;;;;;;2025.08.23. 03:54;SP00106032250439;Solplanet;ASW10K-LT-G2;2022.10.25.
0000;unknow;HU;4060 Balmazújváros Szoboszloi u 4;;;;;;;;;2025.08.23. 03:54;ST500060121B0133;Solplanet;ASW5K-LT;2022.10.25.
0000;unknow;HU;Cinke út 2, Erd, Pest, Hungary;;;;;;;;;2025.08.23. 03:54;SZ00126022270268;Solplanet;ASW12K-LT-G2;2022.10.25.
0000;Szeged;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00106022260433;Solplanet;ASW10K-LT-G2;2022.10.25.
0000;Gardony;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00106022210383;Solplanet;ASW10K-LT-G2;2022.10.25.
0000;Sopron;HU;9494 Sopron - Balf, F? u. 60;;;;;;;;;2025.08.23. 03:54;SP00086032250516;Solplanet;ASW8K-LT-G2 Pro;2022.10.25.
0000;Szeged;HU;unknow;;;;;;;;;2025.08.23. 03:54;SZ00126022250212;Solplanet;ASW12K-LT-G2;2022.10.25.
0000;Veszprem;HU;Veszprém, Fenyves u. 62, 8200 Hungary;;;;;;;;;2025.08.23. 03:54;SP00156032280195;Solplanet;ASW15K-LT-G2 Pro;1970.01.01.
3022;L?rinci;HU;Meggyfa utca 26.;;;;;;;;;2025.08.23. 03:54;SZ00086022210007;Solplanet;ASW8K-LT-G2;2022.11.02.
